timestamp,price,market_cap,volume,coin
1775041310106,614.2555883455116,83747730397.19304,1161153994.4362895,binancecoin
1775044892001,615.1474500237412,83898761708.62376,1145727474.6139934,binancecoin
1775048466079,614.6095908782398,83846456039.84816,1158109874.2615755,binancecoin
1775052114170,611.1366663378466,83338654021.50992,984885223.9083191,binancecoin
1775055712835,613.8287735639689,83718488572.38263,1131860321.5012946,binancecoin
1775059329771,614.9624614291212,83800636514.9383,950644714.6620688,binancecoin
1775062954306,616.324229494886,84061272919.41211,1093757685.9987648,binancecoin
1775066574404,614.0400376537909,83755569038.8411,1050537392.8577926,binancecoin
1775070168147,612.8841814147703,83569822997.55052,1044345203.6871156,binancecoin
1775073752900,613.6289856099436,83688546166.07167,1047227273.245357,binancecoin
1775077377660,613.4460136376625,83659227263.17345,1046437088.9218051,binancecoin
1775080936863,614.5390203771715,83704453026.58612,1057026529.8353736,binancecoin
1775084447182,610.7233621996514,83243221775.86342,1068071342.9697514,binancecoin
1775088153789,610.7257387079188,83268972735.4447,1057348941.2416209,binancecoin
1775091762357,613.2048217959511,83597443943.91496,1062347397.5595298,binancecoin
1775095208446,604.2929294442304,82375141780.68037,1135201612.4750772,binancecoin
1775098964253,597.3398552165928,81441579081.98262,1157085821.5778058,binancecoin
1775102607190,592.0945812874943,80743330244.80307,1219790828.0572138,binancecoin
1775106105173,587.7740181576461,80131863995.27835,1271101335.8092456,binancecoin
1775109733197,590.8055516424622,80566644597.37198,1256224517.051816,binancecoin
1775113384312,589.7885786224338,80406418065.50615,1219469541.666598,binancecoin
1775116976594,591.8527172673712,80703815985.17729,1227736822.1839955,binancecoin
1775120554126,587.9835829005294,80296863542.6359,1236930204.0134826,binancecoin
1775124148959,585.5834582094014,79850455818.31445,1284665387.3828084,binancecoin
1775127719411,581.4119731832525,79284691452.13327,1299298959.0095148,binancecoin
1775131352561,581.0398911805546,79201115756.87373,1337618549.5525827,binancecoin
1775134980270,575.4422673011775,78519723822.02922,1444006783.4731042,binancecoin
1775138557863,573.1119364696713,78142061257.26166,1513275410.715016,binancecoin
1775142159966,576.2114480961881,78557432259.11069,1575487471.6931357,binancecoin
1775145788247,573.3310391805561,78119374575.2385,1582269256.396505,binancecoin
1775149330256,579.891976315369,79072322362.69742,1611378799.6438816,binancecoin
1775153017677,578.7357814947471,78914366738.52107,1670783041.001179,binancecoin
1775156540953,581.9276031574176,79366228928.97287,1656726618.9576836,binancecoin
1775160142415,583.4337353758373,79494370647.89856,1497131422.9872603,binancecoin
1775163771336,583.7927228650989,79608424526.47845,1625605404.3674297,binancecoin
1775167402070,584.1319435745172,79611620182.65378,1610971524.53383,binancecoin
1775170979518,583.3784496039897,79552093121.14444,1583544177.802348,binancecoin
1775174605843,583.2343462184504,79535583506.9849,1566389736.6438546,binancecoin
1775178152839,583.9947477243079,79650963593.8081,1579577081.0535479,binancecoin
1775181774402,584.3116960587893,79683360489.73738,1513031732.7555852,binancecoin
1775185432083,584.5102098461351,79697519593.14229,1300378215.4659486,binancecoin
1775188985800,585.9547901667661,79879800113.4562,1420074871.9029198,binancecoin
1775192511844,586.5818798445504,79984544763.88184,1352311375.62929,binancecoin
1775196223603,586.6589992891912,79998143804.52776,1300989736.9076912,binancecoin
1775199781579,586.2804266327622,79937222053.36093,1279384898.988207,binancecoin
1775203215872,586.4822116981285,79974564412.984,1271417858.2413342,binancecoin
1775206937086,585.5768022101767,79828831408.06363,1252045516.65536,binancecoin
1775210419456,585.2194929405388,79795202562.18094,1212747198.877606,binancecoin
1775214129393,585.6554069968994,79835222859.2463,1144269836.2166183,binancecoin
1775217701589,587.306373644084,80082346067.60107,1073369859.2138641,binancecoin
1775221321540,585.4514428753002,79837261268.87486,991733527.2979279,binancecoin
1775224970205,586.1982468602239,79928176924.45508,867768782.5318356,binancecoin
1775228582716,587.847018702772,80175323566.67111,778689029.5037607,binancecoin
1775232157016,586.9648677669221,80054286649.42097,774094993.0545372,binancecoin
1775235800090,588.7378237074595,80284086359.2734,671788093.1790437,binancecoin
1775239292952,588.3105524928283,80229292887.99706,670586157.5901561,binancecoin
1775242986567,587.6746109016555,80125115077.98172,645206521.1640182,binancecoin
1775246536621,588.490702277172,80258515273.74644,662670658.9769874,binancecoin
1775250214677,588.3706942498413,80206756571.76822,635113070.6690603,binancecoin
1775253886213,588.6919224639687,80274748800.1172,622571052.7487918,binancecoin
1775257454042,587.2880007949979,80075441373.43515,612678450.2793083,binancecoin
1775261027888,588.1023061457563,80200003775.74149,616532496.823016,binancecoin
1775264607256,587.8171889749053,80161688915.05038,595402731.0633162,binancecoin
1775268167780,587.5196041739142,80095169187.96504,555877697.6140509,binancecoin
1775272629833,588.703642232439,80248085020.17667,539023711.5168632,binancecoin
1775277877291,588.8354883134684,80291794267.94643,541722166.7048895,binancecoin
1775280669741,588.6530294701607,80272429832.49336,528185604.627776,binancecoin
1775285499734,591.408115388105,80644593027.44257,514426810.1636133,binancecoin
1775289515784,589.406779483569,80369473450.11728,511764252.14679646,binancecoin
1775292543585,590.053378597681,80475811195.77791,507077438.4461902,binancecoin
1775296749052,589.9949833009769,80444753877.09999,484937415.9097431,binancecoin
1775299983721,590.0542122602479,80441318625.38426,502810221.1124359,binancecoin
1775300530714,589.9921670882926,80449434059.70984,479653136.5863889,binancecoin
1775304015492,589.4510474584174,80368336910.04178,478454104.07589555,binancecoin
1775307642129,589.578697201619,80393899951.09631,466949353.50608623,binancecoin
1775311335964,590.1598506185446,80472751129.98453,454076511.2827802,binancecoin
1775314943722,589.7570968955704,80388565913.07475,459284828.8098967,binancecoin
1775318531185,590.8554566628285,80552208259.85555,464989990.00854903,binancecoin
1775322123106,591.8917701939291,80720264127.50458,458520922.449216,binancecoin
1775325808404,592.6773217938659,80772355448.15598,366510656.9208994,binancecoin
1775329350948,593.2931560893181,80898044201.03352,465625700.01841396,binancecoin
1775332946362,593.4211368259884,80928249121.01727,476547350.1883137,binancecoin
1775336581188,593.4781397520093,80926402997.58339,481297493.15103424,binancecoin
1775340015691,594.4113303438252,81113759084.71317,498064918.63424325,binancecoin
1775343750169,594.1881075572499,81012763467.30692,491329770.8815028,binancecoin
1775347315344,593.352985076973,80909688028.4206,482161081.39269626,binancecoin
1775350890172,592.3712875467519,80792480470.41905,450827008.2599773,binancecoin
1775354513662,592.1585415795157,80743799003.86493,480574865.4303345,binancecoin
1775358183894,593.0453999923154,80849959305.04245,499846015.9340382,binancecoin
1775361747437,593.4474513931584,80923723604.27454,499361426.5517978,binancecoin
1775365342806,593.0607350504638,80859811369.9031,500686788.8820998,binancecoin
1775368941531,592.256668775407,80781924847.87245,481418867.42002976,binancecoin
1775372558837,590.6127481578943,80525022084.10645,481600597.220175,binancecoin
1775376200189,590.2283000696741,80479270665.77205,393033215.73917156,binancecoin
1775379789313,592.3594434058436,80767559159.64064,483858507.52011585,binancecoin
1775383385864,593.2687447395132,80904702783.85272,467237465.3564692,binancecoin
1775386987312,593.7966123222193,80972974719.45432,480345133.3761965,binancecoin
1775390607316,593.7724294938217,80959987637.45854,472211711.4739988,binancecoin
1775394042271,589.5431864571475,80400601499.46982,454306703.533994,binancecoin
1775397779605,588.9800015270218,80314114891.34218,529232228.77266705,binancecoin
1775401380594,589.4217320519325,80375059217.49452,511625232.73170674,binancecoin
1775405015270,593.1594259811164,80887816394.72508,534786779.4738522,binancecoin
1775408603529,592.7590914532734,80820572300.64546,521081663.9203869,binancecoin
